iter	Passed	Remaining
0	3	3696
1	5	2558
2	6	2183
3	7	1751
4	8	1677
5	11	1954
6	12	1842
7	13	1683
8	14	1576
9	15	1505
10	17	1594
11	19	1622
12	21	1606
13	22	1566
14	24	1595
15	25	1579
16	26	1533
17	28	1530
18	29	1504
19	30	1482
20	33	1553
21	35	1567
22	36	1532
23	36	1503
24	37	1478
25	38	1451
26	39	1424
27	40	1399
28	41	1377
29	42	1360
30	42	1341
31	43	1323
32	44	1306
33	47	1363
34	51	1406
35	52	1397
36	53	1390
37	54	1378
38	55	1369
39	56	1361
40	57	1353
41	58	1331
42	59	1317
43	60	1308
44	62	1321
45	64	1329
46	65	1338
47	67	1328
48	67	1317
49	68	1305
50	69	1292
51	70	1280
52	71	1272
53	71	1256
54	72	1245
55	73	1235
56	73	1224
57	74	1215
58	77	1242
59	80	1256
60	81	1254
61	82	1249
62	83	1240
63	84	1231
64	85	1223
65	85	1216
66	86	1208
67	87	1199
68	88	1190
69	89	1185
70	90	1178
71	92	1197
72	94	1205
73	95	1198
74	96	1193
75	97	1183
76	98	1176
77	98	1169
78	99	1164
79	100	1158
80	101	1151
81	102	1142
82	102	1136
83	103	1131
84	104	1126
85	105	1120
86	106	1115
87	108	1126
88	109	1123
89	110	1119
90	111	1114
91	112	1109
92	113	1104
93	114	1099
94	114	1094
95	115	1088
96	116	1083
97	117	1081
98	118	1077
99	119	1072
100	119	1067
101	121	1073
102	122	1071
103	123	1066
104	124	1063
105	125	1058
106	126	1053
107	127	1049
108	128	1046
109	128	1041
110	129	1037
111	130	1033
112	131	1029
113	132	1026
114	132	1022
115	133	1019
116	135	1021
117	137	1024
118	138	1022
119	139	1019
120	139	1014
121	140	1010
122	141	1006
123	142	1003
124	142	1000
125	143	996
126	144	992
127	145	989
128	146	987
129	146	983
130	148	982
131	148	978
132	150	978
133	151	978
134	152	974
135	153	974
136	154	973
137	155	968
138	155	965
139	156	963
140	157	960
141	158	957
142	159	952
143	159	949
144	160	948
145	161	946
146	162	944
147	163	943
148	164	941
149	166	941
150	167	940
151	168	938
152	169	935
153	169	932
154	170	929
155	171	927
156	172	924
157	173	921
158	173	919
159	174	917
160	175	914
161	176	911
162	177	909
163	177	906
164	178	904
165	179	901
166	180	902
167	182	901
168	183	902
169	184	899
170	185	897
171	186	895
172	186	893
173	187	888
174	187	884
175	188	881
176	189	880
177	190	878
178	191	877
179	192	875
180	193	873
181	193	871
182	194	869
183	195	866
184	196	867
185	198	866
186	198	864
187	199	862
188	200	860
189	201	858
190	202	856
191	203	855
192	203	852
193	204	850
194	205	846
195	205	844
196	206	841
197	207	840
198	208	837
199	208	835
200	210	834
201	211	834
202	212	834
203	213	833
204	215	834
205	216	835
206	218	835
207	218	833
208	219	831
209	220	829
210	221	827
211	222	825
212	223	823
213	223	821
214	224	819
215	226	822
216	227	821
217	229	822
218	230	822
219	231	821
220	232	820
221	233	818
222	234	816
223	235	814
224	236	813
225	236	811
226	237	809
227	238	807
228	239	805
229	241	807
230	242	805
231	243	805
232	245	808
233	246	806
234	247	805
235	248	803
236	248	801
237	249	799
238	250	798
239	251	795
240	252	793
241	252	791
242	253	790
243	254	789
244	256	790
245	257	790
246	260	793
247	261	792
248	262	791
249	263	790
250	264	789
251	265	788
252	266	786
253	267	784
254	268	783
255	268	781
256	269	779
257	271	780
258	272	780
259	274	780
260	275	780
261	276	778
262	277	776
263	278	775
264	278	773
265	279	771
266	280	770
267	281	768
268	282	766
269	282	764
270	283	762
271	284	761
272	286	762
273	287	762
274	290	764
275	291	763
276	291	761
277	292	760
278	293	758
279	294	756
280	295	754
281	295	753
282	296	751
283	297	750
284	298	748
285	299	746
286	301	748
287	302	748
288	303	747
289	305	747
290	306	745
291	306	744
292	307	743
293	309	742
294	309	740
295	310	738
296	311	736
297	312	735
298	312	733
299	314	732
300	317	736
301	320	740
302	321	740
303	322	738
304	323	737
305	324	735
306	325	734
307	326	732
308	326	731
309	327	730
310	329	728
311	330	729
312	332	728
313	334	730
314	335	728
315	335	727
316	337	726
317	337	724
318	338	723
319	339	721
320	340	719
321	341	718
322	342	717
323	343	715
324	343	714
325	345	714
326	346	713
327	347	712
328	349	713
329	350	711
330	351	709
331	352	708
332	352	706
333	353	705
334	354	703
335	355	703
336	356	701
337	357	700
338	358	698
339	359	697
340	360	697
341	362	696
342	363	697
343	364	695
344	365	694
345	366	692
346	367	690
347	368	690
348	369	689
349	370	688
350	371	686
351	372	685
352	373	683
353	374	684
354	376	683
355	377	683
356	379	682
357	379	681
358	380	679
359	381	678
360	382	676
361	383	675
362	384	674
363	384	672
364	385	670
365	386	669
366	387	667
367	388	666
368	389	666
369	391	665
370	392	666
371	393	664
372	394	663
373	395	662
374	396	661
375	397	659
376	398	658
377	399	656
378	399	655
379	400	653
380	401	652
381	402	650
382	404	650
383	405	650
384	407	651
385	408	650
386	409	648
387	410	647
388	411	646
389	412	644
390	412	643
391	413	641
392	414	640
393	415	639
394	416	637
395	417	636
396	419	636
397	420	636
398	422	636
399	423	635
400	425	635
401	426	634
402	427	633
403	428	632
404	429	631
405	430	630
406	431	628
407	432	627
408	433	626
409	435	627
410	439	629
411	440	628
412	441	626
413	441	625
414	442	624
415	443	622
416	444	621
417	444	619
418	445	618
419	446	616
420	447	615
421	449	615
422	450	614
423	453	615
424	454	614
425	455	613
426	456	612
427	456	610
428	457	609
429	458	607
430	459	606
431	459	604
432	460	603
433	461	601
434	462	600
435	464	601
436	466	600
437	468	600
438	469	599
439	470	598
440	470	596
441	471	595
442	472	594
443	473	592
444	474	591
445	474	589
446	475	588
447	476	586
448	477	585
449	478	585
450	480	585
451	482	584
452	484	584
453	485	583
454	485	582
455	486	580
456	487	579
457	488	577
458	489	576
459	489	575
460	490	573
461	491	572
462	493	572
463	494	571
464	496	571
465	497	570
466	498	568
467	499	567
468	499	565
469	500	564
470	501	563
471	502	561
472	502	560
473	503	558
474	504	557
475	505	556
476	506	555
477	508	554
478	510	555
479	511	554
480	512	552
481	513	551
482	514	550
483	514	548
484	515	547
485	516	546
486	517	544
487	518	543
488	519	542
489	520	541
490	520	539
491	522	539
492	523	538
493	525	537
494	526	537
495	527	536
496	528	535
497	529	533
498	530	532
499	531	531
500	532	530
501	533	529
502	534	527
503	535	526
504	536	525
505	539	526
506	541	526
507	542	525
508	543	523
509	543	522
510	544	521
511	545	520
512	546	518
513	547	517
514	548	516
515	549	514
516	550	514
517	551	512
518	554	514
519	556	513
520	557	512
521	558	511
522	559	510
523	560	509
524	561	507
525	561	506
526	562	505
527	563	503
528	564	502
529	565	501
530	567	501
531	569	500
532	570	499
533	572	499
534	573	498
535	574	497
536	575	496
537	576	494
538	577	493
539	577	492
540	578	491
541	579	489
542	580	488
543	583	488
544	585	488
545	586	487
546	587	486
547	588	485
548	588	483
549	589	482
550	590	481
551	591	479
552	591	478
553	592	477
554	593	476
555	594	474
556	595	473
557	597	473
558	600	473
559	601	472
560	602	471
561	603	470
562	604	468
563	604	467
564	605	466
565	606	465
566	607	463
567	608	462
568	609	461
569	609	460
570	610	458
571	613	458
572	615	458
573	616	457
574	617	456
575	618	455
576	619	453
577	620	452
578	620	451
579	621	450
580	622	448
581	623	447
582	623	446
583	624	444
584	625	443
585	627	443
586	629	442
587	630	441
588	631	440
589	631	439
590	632	437
591	633	436
592	634	435
593	635	434
594	635	432
595	636	431
596	637	430
597	638	429
598	638	427
599	639	426
600	640	425
601	643	425
602	644	424
603	645	423
604	646	422
605	647	420
606	648	419
607	648	418
608	649	417
609	650	415
610	651	414
611	652	413
612	652	412
613	653	410
614	654	409
615	657	409
616	659	409
617	660	408
618	660	406
619	661	405
620	662	404
621	663	403
622	664	401
623	664	400
624	665	399
625	666	398
626	667	397
627	668	395
628	668	394
629	670	393
630	675	394
631	676	394
632	677	392
633	678	391
634	679	390
635	679	389
636	680	387
637	681	386
638	682	385
639	683	384
640	684	383
641	685	382
642	687	381
643	689	380
644	689	379
645	690	378
646	691	377
647	692	376
648	693	374
649	693	373
650	694	372
651	695	371
652	696	369
653	697	368
654	698	367
655	699	366
656	700	365
657	702	365
658	704	364
659	705	363
660	705	361
661	706	360
662	707	359
663	708	358
664	708	357
665	709	355
666	710	354
667	711	353
668	712	352
669	713	351
670	714	350
671	714	348
672	716	347
673	718	347
674	719	346
675	719	345
676	720	343
677	721	342
678	722	341
679	722	340
680	723	339
681	724	337
682	725	336
683	726	335
684	727	334
685	728	333
686	729	332
687	732	332
688	733	331
689	734	330
690	735	328
691	736	327
692	737	326
693	737	325
694	738	324
695	739	322
696	740	321
697	741	320
698	741	319
699	742	318
700	743	317
701	744	315
702	745	314
703	746	313
704	748	312
705	749	311
706	749	310
707	750	309
708	751	308
709	752	307
710	753	306
711	754	304
712	754	303
713	755	302
714	756	301
715	757	300
716	757	299
717	758	297
718	759	296
719	761	296
720	762	295
721	763	293
722	764	292
723	765	291
724	765	290
725	766	289
726	767	288
727	768	287
728	769	285
729	769	284
730	770	283
731	771	282
732	772	281
733	773	280
734	774	279
735	775	278
736	776	277
737	777	276
738	778	274
739	779	273
740	780	272
741	781	271
742	782	270
743	783	269
744	784	268
745	785	267
746	786	266
747	787	265
748	787	264
749	788	262
750	789	261
751	791	260
752	792	259
753	793	258
754	794	257
755	795	256
756	796	255
757	797	254
758	798	253
759	799	252
760	799	251
761	800	250
762	801	248
763	802	247
764	802	246
765	803	245
766	804	244
767	806	243
768	807	242
769	809	241
770	809	240
771	810	239
772	811	238
773	812	237
774	813	236
775	813	234
776	814	233
777	815	232
778	816	231
779	817	230
780	818	229
781	818	228
782	820	227
783	822	226
784	823	225
785	825	224
786	826	223
787	827	222
788	827	221
789	828	220
790	829	219
791	830	218
792	831	216
793	832	215
794	832	214
795	833	213
796	834	212
797	836	211
798	837	210
799	838	209
800	839	208
801	840	207
802	841	206
803	841	205
804	842	204
805	843	203
806	844	201
807	845	200
808	846	199
809	846	198
810	847	197
811	848	196
812	850	195
813	851	194
814	852	193
815	853	192
816	854	191
817	855	190
818	855	189
819	856	188
820	857	186
821	858	185
822	859	184
823	859	183
824	860	182
825	861	181
826	862	180
827	863	179
828	865	178
829	866	177
830	867	176
831	868	175
832	869	174
833	870	173
834	870	172
835	871	171
836	872	169
837	873	168
838	874	167
839	874	166
840	876	165
841	876	164
842	877	163
843	878	162
844	879	161
845	881	160
846	882	159
847	883	158
848	883	157
849	884	156
850	885	155
851	886	153
852	887	152
853	887	151
854	889	150
855	890	149
856	890	148
857	891	147
858	892	146
859	894	145
860	895	144
861	896	143
862	897	142
863	898	141
864	898	140
865	899	139
866	900	138
867	901	137
868	902	136
869	903	135
870	904	133
871	905	132
872	905	131
873	906	130
874	907	129
875	908	128
876	910	127
877	911	126
878	912	125
879	913	124
880	913	123
881	914	122
882	915	121
883	916	120
884	917	119
885	918	118
886	919	117
887	920	116
888	920	114
889	921	113
890	922	112
891	924	111
892	925	110
893	926	109
894	927	108
895	927	107
896	928	106
897	929	105
898	930	104
899	931	103
900	932	102
901	933	101
902	934	100
903	935	99
904	935	98
905	936	97
906	937	96
907	939	95
908	940	94
909	941	93
910	942	92
911	943	91
912	944	89
913	945	88
914	946	87
915	947	86
916	948	85
917	948	84
918	949	83
919	950	82
920	951	81
921	952	80
922	953	79
923	954	78
924	955	77
925	956	76
926	957	75
927	958	74
928	959	73
929	960	72
930	961	71
931	962	70
932	962	69
933	963	68
934	964	67
935	965	65
936	965	64
937	966	63
938	967	62
939	969	61
940	970	60
941	971	59
942	972	58
943	973	57
944	974	56
945	975	55
946	976	54
947	976	53
948	977	52
949	978	51
950	979	50
951	980	49
952	980	48
953	981	47
954	982	46
955	984	45
956	986	44
957	987	43
958	988	42
959	989	41
960	990	40
961	991	39
962	991	38
963	992	37
964	993	36
965	994	34
