Year,Consumer price index (2010 = 100),GDP (constant LCU),GDP (current LCU),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Livestock production index (2014-2016 = 100),"Official exchange rate (LCU per US$, period average)","Total reserves (includes gold, current US$)","Population, total","Population, female","Population, male",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Trade Openness Index(%),Crude oil price(per barrel in $),Cumulative crude oil production up to and including year,Narrow Money,Money Supply M3,Net Foreign Assets,Net Domestic Credit,Credit to Government,Credit to Private Sector,Base Money,Currency in Circulation,Bank Reserves,Currency Outside Banks,Demand Deposits,Quasi Money,Net Domestic Assets,Other Assets Net,Money Supply M2,CBN Bills,Special Intervention Reserves,GDPBillions of US $,Per CapitaUS $,Growth RateAnnual % Change,Petrol Price (Naira),Food imports (% of merchandise imports),Food exports (% of merchandise imports),Regime Type,ECONOMIC ERA,Constitution 
1960,0.07,9.28E+12,2997268700,0.19,93.4,-1.83,6.26,5.44,17.19,0.71,343000000,44928342,22509554,22418787,41.01,55.67,3.33,26.17,1.63,12318,217.61,30368977.77,150.28,117.63,8.3,109.33,157.05,154.15,2.9,135.32,82.28,54.79,122.12,4.49,272.4,2447132.17,258214.99,4.2,93.4,0,0.05,14.13,64.52,Monarchy,Normal,Mornachy
1961,0.07,9.30E+12,3190921200,0.19,97.42,-1.83,6.26,6.28,17.19,0.71,307070650,45855507,22972267,22883240,40.98,55.68,3.34,25.49,1.57,29108,222.32,30368977.77,163.63,143.77,26.64,117.13,166.96,160.19,6.76,138.2,84.12,70.51,129.2,-14.56,292.83,2447132.17,258214.99,4.47,97.42,0.19,0.05,14.13,64.52,Monarchy,Normal,Mornachy
1962,0.07,9.68E+12,3506715100,4.1,104.85,1.95,5.57,5.27,15.71,0.71,289024970,46821845,23454102,23367743,40.99,55.65,3.36,21.83,1.53,53745,242.14,30368977.77,156.34,187,38.22,148.78,177.51,174.66,2.85,149.96,92.18,83.29,169.09,-17.91,325.43,2447132.17,258214.99,4.91,104.85,4.1,0.05,14.13,64.52,Monarchy,Normal,Mornachy
1963,0.07,1.05E+13,3689708800,8.58,108.02,6.31,-3.09,-2.69,15.95,0.71,210030680,47822569,23952407,23870161,41.07,55.55,3.37,22.32,1.5,81668,267.55,30368977.77,133.45,237.57,67.07,170.5,185.46,183.3,2.16,168.98,98.57,94.27,228.37,-9.2,361.82,2447132.17,258214.99,5.17,108.02,8.58,0.05,12.14,62.31,Presidency,Normal,First
1964,0.07,1.10E+13,3966381100,4.95,113.66,2.73,2.43,0.86,17.6,0.71,228053520,48856332,24467983,24388349,41.27,55.36,3.37,24.62,1.45,125661,316.06,30368977.77,124.89,306.08,83.13,222.96,217.02,214.71,2.31,197.89,118.17,114.43,305.59,-0.49,430.49,2447132.17,258214.99,5.55,113.66,4.95,0.05,9.24,61,Presidency,Normal,First
1965,0.08,1.16E+13,4196100000,4.88,117.67,2.64,0.86,4.1,18.54,0.71,239053520,49925799,25001034,24924766,41.45,55.18,3.37,26.91,1.42,225744,326.36,30368977.77,154.6,313.09,80.48,232.61,220.48,217.89,2.6,200.94,125.41,141.02,312.78,-0.31,467.37,2447132.17,258214.99,5.87,117.67,4.89,0.05,9.14,54.38,Presidency,Normal,First
1966,0.08,1.11E+13,4547800000,-4.25,124.79,-6.3,13.19,9.69,18.07,0.71,215353490,51020296,25544212,25476085,41.58,55.06,3.36,25.04,1.36,378168,355.62,30368977.77,126.49,381.74,136.18,245.56,239.87,236.51,3.36,217.17,138.45,162.52,391.65,9.91,518.14,2447132.17,258214.99,6.37,124.79,-4.25,0.05,11.02,46.87,Presidency,Normal,First
1967,0.08,9.33E+12,3716600000,-15.74,99.86,-17.5,-3.01,-3.73,20.08,0.71,112359200,52106681,26089879,26016803,41.72,54.94,3.34,28.49,1.33,494640,320.09,30368977.77,46.72,432.86,191.35,241.51,226.73,220.95,5.78,207.42,112.67,131.24,404.61,-28.25,451.34,2447132.17,258214.99,5.2,99.86,-15.74,0.05,10.47,51.12,Military,Civil war,Military
1968,0.08,9.21E+12,3715000000,-1.25,97.74,-3.3,1.22,-0.48,19.82,0.71,121194900,53210119,26650321,26559798,41.87,54.82,3.32,25.66,1.32,546355,331.76,30368977.77,64.16,574.25,351.41,222.84,205.67,202.16,3.51,183.1,148.67,183.55,451.16,-123.09,515.31,2447132.17,258214.99,5.2,97.74,-1.25,0.05,8.1,63.29,Military,Civil war,Military
1969,0.09,1.14E+13,4738800000,24.2,122.04,21.57,2.71,10.16,23.16,0.71,132459200,54360750,27231346,27129404,42.01,54.69,3.3,26.82,1.27,743565,444.99,30368977.77,87.8,761.94,512.19,249.74,277.91,273.23,4.68,252.71,192.28,215.41,572.59,-189.34,660.4,2447132.17,258214.99,6.63,122.04,24.2,0.05,8.78,42.1,Military,Civil war,Military
