Year,Crop production,Livestock,Forestry,Fishing,Construction Sector Naira(million),Information and Communication Sector (millions in naira),Real Estate (millions of naira),Account_Balance Billions of USD,"Exports of goods, fob BoP(cur. US $)",Population,"Manufacturing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Lending interest rate (%)
1980,1854764.44,341411.5,77897.99,90299.23,851561.61,263409.45,1063959.81,5.178,25956311740,73424000,20.26370868,12.24040925,39.2450902,8.431666666
1981,1854764.44,341411.5,77897.99,90299.23,851561.61,263409.45,1063959.81,-6.474,17811400000,75441000,20.26370868,12.24040925,39.2450902,8.916666667
1982,1897078.85,361115.7,73910.25,93856.08,679200.42,281235.38,1074049.33,-7.282,12337840000,77428000,20.33225097,13.50269014,34.8092085,9.5375
1983,1842704.31,393131.01,75282.78,97963.82,598782.27,278786.5,1086703.98,-4.332,10370124892,79415000,21.09825252,14.99073289,34.11844117,9.976666666
1984,1759115.15,399685.38,76694.14,68010.74,488143.29,253756.74,1086931.99,123,12005730000,81449000,17.73635842,18.30836066,30.34592042,10.24166667
1985,2180907.71,428102.85,78082.45,43969.46,336270.79,202382.95,1091378.22,2.604,12664760000,83563000,21.05450311,18.22763997,33.466601,9.433333333
1986,2427100.66,421627.97,86594.92,51511.83,335758.58,202891.59,1100909.11,211,6784081164,85766000,21.009999,18.02042516,32.83078352,9.959166667
1987,2329995.84,433433.52,87594.28,40648.69,367003.84,204924.6,1112486.41,-73,7532090110,88048000,18.78351295,20.55210632,32.88690102,13.96166667
1988,2581595.05,444269.94,88907.95,59794.67,404395.72,206974.83,1123077.56,-296,6700160000,90395000,21.0196417,23.37164885,32.61486597,16.61666667
1989,2710674.81,453155.59,67307.31,94809.39,421214.38,210156.89,1139870.62,1.09,9812308615,92788000,18.35403221,21.27559734,35.39180717,20.44166667
1990,2828589.58,462218.99,72613.57,101294.12,442274.21,214360.46,1196554.34,4.988,14146488452,95212000,17.78259534,21.55626328,35.41032677,25.3
1991,2955875.91,454823.21,74791.9,105346.41,459966.2,217683.2,1244151.79,1.203,12280245346,97668000,19.49458715,20.88528311,36.96556598,20.04166667
1992,3044552.16,458916.79,76512.11,94811.77,477904.06,229286.43,1292347.78,2.268,12171840708,100162000,17.65449303,20.32115887,37.70960823,24.75833333
1993,3132843.73,461670.56,78042.4,71109.13,501799,245077.08,1346312.46,-0.78,10270453197,102701000,18.37625,23.49113048,33.17434249,31.65
1994,3226829.55,466287.56,80071.46,66486.88,516853.08,255672.09,1386533.73,-2.128,9850679331,105294000,20.92708023,25.17384878,31.31838955,20.48333333
1995,3336541.36,485872.07,81832.93,73135.57,530808.44,271824.96,1430716.7,-2.578,11526114898,107948000,19.99371557,25.48650645,36.54048982,20.23333333
1996,3462995.96,499962.45,82241.9,88347.9,537177.87,291524.87,1445024.44,3.507,15454416657,110669000,19.10108021,26.1991592,37.44547872,19.83666667
1997,3611905.26,512461.13,82982.17,98331.07,571557.91,320193.4,1536907.47,552,15827035372,113458000,19.19853144,27.41665114,35.2488501,17.795
1998,3752769.63,526297.84,83977.89,112196.02,605850.87,363181.39,1628648,-4.244,10081955287,116320000,17.45056588,27.90837138,28.70243973,18.18416667
1999,3949415.21,541034.01,85070.09,128124.37,628872.48,414810.81,1690330.88,506,12906819377,119260000,16.25736913,26.02848571,29.36369327,20.29
2000,4067897.64,553478.21,86346.14,133249.2,654027.49,455906.8,1756078.06,7.427,19131986234,122284000,13.93340041,21.3572413,33.82300329,21.27416667
2001,4222477.41,570082.86,88072.9,143908.93,732511.6,814982.89,1843817.31,2.478,17991827744,125394000,13.9253596,24.47535466,28.27626627,23.43833333
2002,6977878.78,597498.38,88690.22,153017.1,764328.51,946490.71,1899131.7,1.083,15613435064,128596000,11.81181308,36.96508267,23.04083719,24.77083333
2003,7493024.2,622559.31,90021.5,159227.1,831207.14,1075802.32,1956105.96,3.391,23976048135,131901000,12.06060684,33.82706055,26.0024149,20.71416667
2004,7956655.07,663025.91,95873.02,173019.4,774859.94,1450393.52,2168328.64,16.841,34766236963,135320000,10.86156992,27.2304536,28.39004006,19.18083333
2005,8524146.88,707871.01,101546.8,183426.85,868587,1765773.72,2408823.7,36.529,55201459679,138865000,10.06108332,26.08928283,28.20158345,17.94833333
2006,9162650.26,756734.19,107658.07,195432.46,981454.9,2213220.47,2690065.81,36.518,56934944656,142538000,8.852872608,24.73499126,25.7516356,16.89333333
2007,9826769.09,809164.94,114249.34,208285.76,1109313.11,2800414.19,3005424.89,27.648,66051055294,146340000,8.401379657,24.66257721,24.34471784,16.93916667
2008,10437994.13,864188.16,121218.55,221970.14,1254300.33,3575143.02,3359764.49,29.145,85760407972,150270000,8.168912972,25.27975078,24.7142489,15.13583333
2009,11046155.59,920199.22,128313.12,235657.62,1404496.02,4596652.8,3727341.54,13.869,56166746702,154325000,7.838411937,26.74885451,21.23676148,18.99083333
2010,11683896.37,979564.05,135720.9,249711.48,1570973.47,5955059.67,4127988.21,13.111,79618734657,158503000,6.552816976,23.89370409,25.31745224,17.585
2011,12017192,999404.04,142459.38,270323.35,1817829.82,6083046.66,4145866.08,10.668,99050952223,162805000,7.171084296,22.23471099,28.27779989,16.02
2012,12919542.05,972762.79,146094.08,291306.71,1989464.28,6268513.42,4379936.8,17.374,96123518929,167229000,7.724546672,21.85995862,27.0730175,16.79166667
2013,13247801.8,1030937.33,154314.17,317469.91,2272376.69,6783070.36,4904636.97,19.049,95118100000,171766000,8.928929322,20.75862283,25.74232124,16.7225
2014,13793450.01,1086847,161338.2,338754.12,2568464.75,7257062.04,5155727.95,907,82586100000,176405000,9.635811603,19.99025477,24.64360859,16.54833333
2015,14274936.74,1151323.39,167258.41,358701.61,2680216,7708113.83,5264695.89,-15.439,45887800000,181137000,9.428437322,20.63189348,20.1607829,16.84916667
2016,14894447.82,1185118.44,171642.65,356128.42,2520852.18,7858698.29,4903604.64,5.077,34704000000,185960000,8.679697782,20.98310971,18.17313173,16.86801576
2017,15437049.7,1204205.25,177326.97,360913.36,2545991.32,7776896.97,4694391.27,13.564,45817500000,190873000,8.741993492,20.84657143,22.31511719,17.55333333
2018,15786437.68,1208128.04,182747.93,366834.08,2605287.77,8527659.33,4471861.75,7.283,61221100000,195875000,9.648947481,21.20377372,25.73330658,16.90389696
2019,16181992.98,1210055.38,187474.87,379060.48,2652540.16,9309924.85,4366350.6,-13.685,64977600000,200964000,11.5223587,21.90629593,27.38253705,15.37658698
2020,16544520.56,1233114.81,190508.05,380032.51,2448716.21,10537144.83,3963589.18,-15.986,35944200000,206140000,12.66726516,24.14330587,28.22050552,13.64202167
2021,16920523.88,1240215.352,193224.32,384450.87,2524386.15,11227068.75,4053083.2,-3.254,46766132947,211401000,14.61070297,23.35705876,31.40753404,11.48313279
2022,17260752.41,1247719.41,196357.19,386243.8,2638925.05,12323041.87,4213070.41,1.019,63172379619,216747000,13.59351333,23.69187184,30.77556872,12.33454424
2023,17585429.09,1140235.81,199826.63,380998.75,2733059.98,13297990.32,4283647.4,1.211,56723112315,222182000,13.59351333,23.69187184,30.77556872,12.33454424
