Year,Consumer Price for all items,Nigerian Government Expenditure,All Items (Year on Change),All Items (12 Months Avg. Change),Food (Year on Change)/1,Food (12 Months Avg. Change)/1,All Items Less Farm Produce (Year on Change)/2,All Items Less Farm Produce (12 Months Avg. Change)/2,All Items Less Farm Produce and Energy (Year on Change)/3,All Items Less Farm Produce and Energy (12 Months Avg. Change)/3,"Overall Fiscal Balance, Including Grants (% of GDP) (Percent of GDP)",Government Debt (% of GDP),Foreign Reserves Gross,Foreign Reserves Liquid
2000,6.937547591,24.74181491,,,,,,,,,,,,
2001,18.86922908,30.85716161,,,,,,,,,,,,
2002,12.88265889,19.38108953,,,,,,,,,,,,
2003,14.03342769,23.20597822,167.2,134.4,72.1,77.4,322,230.7,235.4,161.5,,,,
2004,15.00097811,18.33965707,184.6,211.2,174.7,137.7,203.3,325.1,165.5,242.4,"5,488,352,319",35.48800055,,
2005,17.8563286,17.81187802,214.2,177,276.3,224.8,107.8,98.8,127.1,102.7,"490,767,945",18.94016669,,
2006,8.217864404,12.31664354,100.5,162.5,71.2,176.6,153.5,133.1,166.5,149.5,"8,759,047,318",9.404121271,38276224613,39306842961
2007,5.401358977,18.13434413,65,75.9,23,30.6,112.1,138.6,38.5,119.1,"-1,116,384,672",8.11633082,46979548513,43406182193
2008,11.58107517,14.37947221,138.3,94.5,191.71,106.41,60.71,69.3,80.95,28.87,"5,696,888,121",7.276108073,59103117580,57381482982
2009,12.53635465,15.43094147,151.1,156.4,179.3,199.2,110.8,94.7,134.57,126.53,"-5,325,943,344",8.617231755,43921455953,42266707897
2010,13.7416138,16.59200026,165.1,159.1,177.2,175.4,148.8,133.7,143.99,137.2,"-4,171,479,473",9.393064744,38064064610,35852182945
2011,10.82524309,17.29721707,130.2,145.2,124.1,147.2,140.7,144.1,129,136.7,"4,319,365,795",17.43077218,33541289438,31702542476
2012,12.22534395,14.84103468,146.9,137.8,135.8,129.5,166.4,153.9,159.1,146.27,"-1,286,172,814",17.57681499,38068728842,36715102014
2013,8.494645482,14.14492782,102.2,123.1,116.4,125,92.8,127.6,81.27,113.39,"-2,662,054,428",18.28929655,46690842312,45491592423
2014,8.047827739,13.36573972,96.7,97,113.9,113.9,82.4,85.8,86.1,86.6,"-2,428,819,843",17.54075038,38798357554,37769335738
2015,9.010483896,11.04954448,108.12,101.75,118.64,115.16,98.6,87.85,97.8,88.74,"-3,798,620,132",20.32834306,30696017333,29866034307
2016,15.69578821,9.760705137,187.5,143.67,178.6,145.61,182.84,137.31,150.51,121.53,"-4,643,867,071",23.41008947,26279752628,25621251373
2017,16.50205111,11.99056378,198.57,205.72,234.16,214.51,162.58,186.59,155.89,161.97,"-5,414,891,887",24.25886369,31324570259,30620578867
2018,12.09440687,12.81970413,145.75,170.06,173.28,207.46,126.51,139.47,134.57,144.91,"-4,314,982,805",27.68926889,44560903169,43831174822
2019,11.39702251,12.52260283,136.7,136.55,164.79,162.42,109.93,115.75,117.27,123.62,"-4,690,390,206",29.17047825,42990934160,42195870677
2020,13.24675473,12.09475295,158.51,145.57,193.36,176.93,123.5,114.42,129.83,121.08,"-5,574,535,591",34.4859453,35908332614,35328060374
2021,16.95279078,12.55883549,203.81,189.31,245.96,232.46,157.71,142.54,164.77,149.45,"-5,481,402,697",35.66954369,36188766437,35939678512
2022,18.84684482,14.37793515,225.18,205.91,249.99,233.48,192.17,172.81,191.5,176.13,"-5,420,136,368",39.44737254,38820984334,38309815865
2023,24.65960748,13.84163708,294.24,262.47,333.05,293.77,251.08,226.01,248.21,223.32,"-4,226,072,452",46.25426851,34656422447,33819931332
2024,26.31121236,17.04541075,128.49,106.76,153.87,123.12,99.68,88.32,101.46,87.97,"-4,603,798,766",46.58835788,33112553342,32288464396
,,,,,,,,,,,,,,
