Month_Year,Price in Naira Per Litre
Jan 1985,0.2
Feb 1985,0.2
Mar 1985,0.2
Apr 1985,0.2
May 1985,0.2
Jun 1985,0.2
Jul 1985,0.2
Aug 1985,0.2
Sep 1985,0.2
Oct 1985,0.2
Nov 1985,0.2
Dec 1985,0.2
Jan 1986,0.4
Feb 1986,0.4
Mar 1986,0.4
Apr 1986,0.4
May 1986,0.4
Jun 1986,0.4
Jul 1986,0.4
Aug 1986,0.4
Sep 1986,0.4
Oct 1986,0.4
Nov 1986,0.4
Dec 1986,0.4
Jan 1987,0.4
Feb 1987,0.4
Mar 1987,0.4
Apr 1987,0.4
May 1987,0.4
Jun 1987,0.4
Jul 1987,0.4
Aug 1987,0.4
Sep 1987,0.4
Oct 1987,0.4
Nov 1987,0.4
Dec 1987,0.4
Jan 1988,0.4
Feb 1988,0.4
Mar 1988,0.4
Apr 1988,0.42
May 1988,0.42
Jun 1988,0.42
Jul 1988,0.42
Aug 1988,0.42
Sep 1988,0.42
Oct 1988,0.42
Nov 1988,0.42
Dec 1988,0.42
Jan 1989,0.6
Feb 1989,0.6
Mar 1989,0.6
Apr 1989,0.6
May 1989,0.6
Jun 1989,0.6
Jul 1989,0.6
Aug 1989,0.6
Sep 1989,0.6
Oct 1989,0.6
Nov 1989,0.6
Dec 1989,0.6
Jan 1990,0.6
Feb 1990,0.6
Mar 1990,0.6
Apr 1990,0.6
May 1990,0.6
Jun 1990,0.6
Jul 1990,0.6
Aug 1990,0.6
Sep 1990,0.6
Oct 1990,0.6
Nov 1990,0.6
Dec 1990,0.6
Jan 1991,0.7
Feb 1991,0.7
Mar 1991,0.7
Apr 1991,0.7
May 1991,0.7
Jun 1991,0.7
Jul 1991,0.7
Aug 1991,0.7
Sep 1991,0.7
Oct 1991,0.7
Nov 1991,0.7
Dec 1991,0.7
Jan 1992,0.7
Feb 1992,0.7
Mar 1992,0.7
Apr 1992,0.7
May 1992,0.7
Jun 1992,0.7
Jul 1992,0.7
Aug 1992,0.7
Sep 1992,0.7
Oct 1992,0.7
Nov 1992,0.7
Dec 1992,0.7
Jan 1993,0.7
Feb 1993,0.7
Mar 1993,0.7
Apr 1993,0.7
May 1993,0.7
Jun 1993,0.7
Jul 1993,0.7
Aug 1993,0.7
Sep 1993,0.7
Oct 1993,3.25
Nov 1993,3.25
Dec 1993,3.25
Jan 1994,3.25
Feb 1994,3.25
Mar 1994,3.25
Apr 1994,3.25
May 1994,3.25
Jun 1994,3.25
Jul 1994,3.25
Aug 1994,3.25
Sep 1994,3.25
Oct 1994,11.0
Nov 1994,11.0
Dec 1994,11.0
Jan 1995,11.0
Feb 1995,11.0
Mar 1995,11.0
Apr 1995,11.0
May 1995,11.0
Jun 1995,11.0
Jul 1995,11.0
Aug 1995,11.0
Sep 1995,11.0
Oct 1995,11.0
Nov 1995,11.0
Dec 1995,11.0
Jan 1996,11.0
Feb 1996,11.0
Mar 1996,11.0
Apr 1996,11.0
May 1996,11.0
Jun 1996,11.0
Jul 1996,11.0
Aug 1996,11.0
Sep 1996,11.0
Oct 1996,11.0
Nov 1996,11.0
Dec 1996,11.0
Jan 1997,11.0
Feb 1997,11.0
Mar 1997,11.0
Apr 1997,11.0
May 1997,11.0
Jun 1997,11.0
Jul 1997,11.0
Aug 1997,11.0
Sep 1997,11.0
Oct 1997,11.0
Nov 1997,11.0
Dec 1997,11.0
Jan 1998,11.0
Feb 1998,11.0
Mar 1998,11.0
Apr 1998,11.0
May 1998,11.0
Jun 1998,11.0
Jul 1998,11.0
Aug 1998,11.0
Sep 1998,11.0
Oct 1998,11.0
Nov 1998,11.0
Dec 1998,25.0
Jan 1999,20.0
Feb 1999,20.0
Mar 1999,20.0
Apr 1999,20.0
May 1999,20.0
Jun 1999,20.0
Jul 1999,20.0
Aug 1999,20.0
Sep 1999,20.0
Oct 1999,20.0
Nov 1999,20.0
Dec 1999,20.0
Jan 2000,20.0
Feb 2000,20.0
Mar 2000,20.0
Apr 2000,20.0
May 2000,20.0
Jun 2000,22.0
Jul 2000,22.0
Aug 2000,22.0
Sep 2000,22.0
Oct 2000,22.0
Nov 2000,22.0
Dec 2000,22.0
Jan 2001,22.0
Feb 2001,22.0
Mar 2001,22.0
Apr 2001,22.0
May 2001,22.0
Jun 2001,22.0
Jul 2001,22.0
Aug 2001,22.0
Sep 2001,22.0
Oct 2001,22.0
Nov 2001,22.0
Dec 2001,22.0
Jan 2002,26.0
Feb 2002,26.0
Mar 2002,26.0
Apr 2002,26.0
May 2002,26.0
Jun 2002,26.0
Jul 2002,26.0
Aug 2002,26.0
Sep 2002,26.0
Oct 2002,26.0
Nov 2002,26.0
Dec 2002,26.0
Jan 2003,26.0
Feb 2003,26.0
Mar 2003,26.0
Apr 2003,26.0
May 2003,26.0
Jun 2003,40.0
Jul 2003,40.0
Aug 2003,40.0
Sep 2003,40.0
Oct 2003,40.0
Nov 2003,40.0
Dec 2003,40.0
Jan 2004,40.0
Feb 2004,40.0
Mar 2004,40.0
Apr 2004,40.0
May 2004,40.0
Jun 2004,40.0
Jul 2004,40.0
Aug 2004,40.0
Sep 2004,40.0
Oct 2004,40.0
Nov 2004,40.0
Dec 2004,40.0
Jan 2005,40.0
Feb 2005,40.0
Mar 2005,40.0
Apr 2005,40.0
May 2005,40.0
Jun 2005,40.0
Jul 2005,40.0
Aug 2005,40.0
Sep 2005,40.0
Oct 2005,40.0
Nov 2005,40.0
Dec 2005,40.0
Jan 2006,40.0
Feb 2006,40.0
Mar 2006,40.0
Apr 2006,40.0
May 2006,40.0
Jun 2006,40.0
Jul 2006,40.0
Aug 2006,40.0
Sep 2006,40.0
Oct 2006,40.0
Nov 2006,40.0
Dec 2006,40.0
Jan 2007,40.0
Feb 2007,40.0
Mar 2007,40.0
Apr 2007,40.0
May 2007,40.0
Jun 2007,40.0
Jul 2007,40.0
Aug 2007,40.0
Sep 2007,40.0
Oct 2007,40.0
Nov 2007,40.0
Dec 2007,40.0
Jan 2008,40.0
Feb 2008,40.0
Mar 2008,40.0
Apr 2008,40.0
May 2008,40.0
Jun 2008,40.0
Jul 2008,40.0
Aug 2008,40.0
Sep 2008,40.0
Oct 2008,40.0
Nov 2008,40.0
Dec 2008,40.0
Jan 2009,40.0
Feb 2009,40.0
Mar 2009,40.0
Apr 2009,40.0
May 2009,70.0
Jun 2009,65.0
Jul 2009,65.0
Aug 2009,65.0
Sep 2009,65.0
Oct 2009,65.0
Nov 2009,65.0
Dec 2009,65.0
Jan 2010,65.0
Feb 2010,65.0
Mar 2010,65.0
Apr 2010,65.0
May 2010,65.0
Jun 2010,65.0
Jul 2010,65.0
Aug 2010,65.0
Sep 2010,65.0
Oct 2010,65.0
Nov 2010,65.0
Dec 2010,65.0
Jan 2011,65.0
Feb 2011,65.0
Mar 2011,65.0
Apr 2011,65.0
May 2011,65.0
Jun 2011,65.0
Jul 2011,65.0
Aug 2011,65.0
Sep 2011,65.0
Oct 2011,65.0
Nov 2011,65.0
Dec 2011,65.0
Jan 2012,97.0
Feb 2012,97.0
Mar 2012,97.0
Apr 2012,97.0
May 2012,97.0
Jun 2012,97.0
Jul 2012,97.0
Aug 2012,97.0
Sep 2012,97.0
Oct 2012,97.0
Nov 2012,97.0
Dec 2012,97.0
Jan 2013,97.0
Feb 2013,97.0
Mar 2013,97.0
Apr 2013,97.0
May 2013,97.0
Jun 2013,97.0
Jul 2013,97.0
Aug 2013,97.0
Sep 2013,97.0
Oct 2013,97.0
Nov 2013,97.0
Dec 2013,97.0
Jan 2014,97.0
Feb 2014,97.0
Mar 2014,97.0
Apr 2014,97.0
May 2014,97.0
Jun 2014,97.0
Jul 2014,97.0
Aug 2014,97.0
Sep 2014,97.0
Oct 2014,97.0
Nov 2014,97.0
Dec 2014,97.0
Jan 2015,97.0
Feb 2015,87.0
Mar 2015,87.0
Apr 2015,87.0
May 2015,87.0
Jun 2015,87.0
Jul 2015,87.0
Aug 2015,87.0
Sep 2015,87.0
Oct 2015,87.0
Nov 2015,87.0
Dec 2015,87.0
Jan 2016,86.5
Feb 2016,86.5
Mar 2016,86.5
Apr 2016,86.5
May 2016,145.0
Jun 2016,145.0
Jul 2016,145.0
Aug 2016,145.0
Sep 2016,145.0
Oct 2016,145.0
Nov 2016,145.0
Dec 2016,145.0
Jan 2017,145.0
Feb 2017,145.0
Mar 2017,149.39
Apr 2017,149.87
May 2017,150.69
Jun 2017,150.28
Jul 2017,148.21
Aug 2017,144.43
Sep 2017,144.52
Oct 2017,145.99
Nov 2017,145.6
Dec 2017,171.79
Jan 2018,190.87
Feb 2018,172.46
Mar 2018,163.39
Apr 2018,151.4
May 2018,150.17
Jun 2018,148.09
Jul 2018,146.82
Aug 2018,146.9
Sep 2018,147.33
Oct 2018,147.23
Nov 2018,147.46
Dec 2018,145.78
Jan 2019,145.7
Feb 2019,145.29
Mar 2019,145.32
Apr 2019,145.92
May 2019,145.03
Jun 2019,145.36
Jul 2019,145.03
Aug 2019,145.48
Sep 2019,145.53
Oct 2019,145.48
Nov 2019,145.94
Dec 2019,145.35
Jan 2020,145.37
Feb 2020,145.41
Mar 2020,145.4
Apr 2020,130.84
