S/No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Descriptor,All Items (weight = 1000.00),All Items less Farm Produce (weight = 513.10),All Items less Farm Produce and Energy (weight = 405.55),Imported Food (weight = 132.88),Food (weight = 507.06),Food &  Non Alcoholic Bev (weight = 518.00),"Alcoholic Beverage, Tobacco and Kola (weight = 10.87)",Clothing and Footwear (weight = 76.50),"Housing Water, Electricity, Gas and Other  Fuel (weight = 167.34)",Furnishings & Household Equipment Maintenance (weight = 50.30),Health (weight = 30.04),Transport (weight = 65.08),Communication (weight = 6.80),Recreation & Culture (weight = 6.87),Education (weight = 39.44),Restaurant & Hotels (weight = 12.12),Miscellaneous Goods & Services (weight = 16.63)
1995 January,14.36,14.75,20.56,.,15.14,14.96,20.65,29.19,7.76,31.68,28.14,16.17,.,15.65,.,.,10.14
1995 February,15.02,15.33,21.15,.,15.82,15.63,20.57,30.53,8.36,33.28,29.10,15.94,.,15.86,.,.,10.65
1995 March,15.56,15.80,21.92,.,16.37,16.17,21.60,31.57,8.60,34.69,30.55,16.83,.,16.18,.,.,10.86
1995 April,16.95,16.75,23.27,.,18.12,17.91,21.73,33.77,9.07,35.96,30.87,17.17,.,17.61,.,.,11.67
1995 May,18.00,17.09,23.75,.,19.54,19.28,22.48,34.26,9.21,36.95,32.21,17.65,.,17.88,.,.,12.53
1995 June,18.81,17.44,24.42,.,20.68,20.38,23.67,35.14,9.22,37.76,31.89,18.16,.,18.42,.,.,12.53
1995 July,19.43,17.87,25.15,.,21.46,21.09,23.73,36.80,9.39,38.99,32.58,18.63,.,18.92,.,.,13.21
1995 August,20.12,18.36,25.80,.,22.28,21.89,24.77,38.16,9.74,40.16,33.50,18.56,.,18.98,.,.,12.97
1995 September,20.46,19.03,26.39,.,22.36,21.99,24.85,39.22,10.45,40.93,35.12,19.86,.,20.30,.,.,13.76
1995 October,19.96,19.39,27.03,.,21.48,21.21,23.84,39.80,10.32,40.83,35.45,20.68,.,21.69,.,.,14.43
1995 November,20.23,19.65,27.55,.,21.74,21.52,24.51,41.26,10.26,41.04,37.23,21.23,.,21.76,.,.,14.53
1995 December,20.96,20.13,28.15,.,22.64,22.39,25.02,42.58,10.69,41.16,38.52,21.76,.,21.73,.,.,14.62
1996 January,21.19,20.68,28.45,.,22.75,22.47,24.83,43.13,11.43,40.65,40.48,22.01,.,22.40,.,.,14.48
1996 February,21.58,21.11,29.04,.,23.17,22.85,25.19,43.96,11.64,41.58,40.70,22.36,.,22.87,.,.,15.45
1996 March,22.07,21.51,29.59,.,23.76,23.43,25.03,46.61,11.79,42.35,40.81,22.48,.,23.27,.,.,14.93
1996 April,22.35,21.71,29.87,.,24.02,23.68,26.02,47.30,11.96,42.26,42.19,23.24,.,23.72,.,.,15.47
1996 May,23.58,22.03,30.37,.,25.78,25.35,27.02,47.40,12.08,43.52,44.31,23.47,.,24.74,.,.,15.96
1996 June,24.24,22.19,30.32,.,26.65,26.17,26.41,47.72,12.47,43.16,45.18,23.70,.,24.89,.,.,16.30
1996 July,25.17,22.50,30.95,.,27.98,27.48,27.99,48.72,12.49,43.10,45.03,23.58,.,25.21,.,.,16.61
1996 August,25.50,22.58,31.19,.,28.41,27.91,29.04,49.69,12.36,43.61,45.42,23.97,.,25.55,.,.,16.83
1996 September,25.31,22.86,31.52,.,27.98,27.47,30.58,49.91,12.55,44.25,47.62,23.95,.,26.21,.,.,17.16
1996 October,24.87,22.72,31.38,.,27.31,26.87,30.33,50.11,12.46,43.23,48.38,24.11,.,26.73,.,.,17.49
1996 November,24.45,22.82,31.48,.,26.52,26.17,29.70,50.11,12.58,43.66,47.48,24.81,.,26.87,.,.,17.87
1996 December,23.97,23.21,31.79,.,25.52,25.22,28.75,50.85,12.96,45.00,47.97,25.77,.,28.15,.,.,17.21
1997 January,24.23,23.09,31.69,.,25.98,25.67,30.48,50.10,12.82,44.33,48.31,25.79,.,28.23,.,.,17.32
1997 February,24.46,22.98,31.60,.,26.38,26.03,31.54,50.22,12.78,43.60,47.85,25.22,.,30.29,.,.,17.16
1997 March,25.11,23.51,32.56,.,27.57,27.08,30.60,54.40,12.64,43.91,50.49,24.85,.,30.38,.,.,17.77
1997 April,26.17,23.57,32.45,.,28.94,28.41,30.05,52.29,13.19,43.03,50.21,24.61,.,30.40,.,.,17.65
1997 May,26.62,23.62,32.63,.,29.56,29.01,30.48,53.32,12.98,43.48,50.94,25.80,.,31.02,.,.,17.64
