Year,Month,InterBankCallRate,MPR,TreasuryBill,SavingsDeposit,OneMonthDeposit,ThreeMonthsDeposit,SixMonthsDeposit,TwelveMonthsDeposit,PrimeLending,MaxLending
2024,1,16.43,18.75,4.33,5.28,7.49,9.26,8.29,9.93,13.82,27.07
2024,2,19.25,22.75,17.03,5.86,8.69,9.89,9.61,10.75,15.06,26.55
2024,3,27.95,24.75,16.53,6.28,9.9,10.9,10.54,11.04,15.7,29.38
2024,4,29.88,24.75,16.24,6.29,10.68,11.65,11.74,11.23,15.54,29.49
2023,1,10.35,17.5,1.39,4.29,8.18,8.76,7.35,7.79,13.67,27.63
2023,2,12.54,17.5,2.09,4.3,7.56,7.78,8.91,8.84,13.62,28.75
2023,3,14.75,18.0,3.81,4.58,7.12,7.63,9.35,7.84,13.97,28.08
2023,4,15.8,18.0,5.73,4.59,7.32,7.92,9.84,8.18,14.05,28.59
2023,5,12.31,18.5,2.98,5.13,7.29,7.95,9.84,8.23,14.07,28.31
2023,6,11.66,18.5,3.87,5.18,7.15,7.68,8.54,7.83,13.85,28.94
2023,7,6.73,18.75,4.45,5.24,7.11,7.62,8.25,7.81,13.98,27.38
2023,8,3.89,18.75,5.13,5.26,7.31,7.55,8.3,8.13,13.99,27.59
2023,9,12.73,18.75,5.29,5.26,7.22,7.52,8.44,8.49,14.32,27.24
2023,10,7.2,18.75,5.39,5.26,7.13,8.57,8.93,8.79,14.39,28.97
2023,11,19.39,18.75,7.73,5.26,6.92,7.53,9.95,9.06,14.05,27.61
2023,12,16.99,18.75,8.93,5.28,7.24,7.56,8.42,9.75,14.17,26.62
2022,1,14.31,11.5,2.49,1.25,3.79,5.0,4.67,5.86,11.68,27.65
2022,2,9.3,11.5,2.3,1.25,3.46,4.48,4.56,5.84,11.78,30.73
2022,3,11.33,11.5,1.75,1.28,3.33,4.41,4.53,5.82,11.84,26.61
2022,4,8.67,11.5,1.74,1.28,2.96,4.44,4.98,5.46,11.83,27.79
2022,5,8.38,13.0,2.47,1.37,3.57,4.7,5.68,5.73,11.96,27.37
2022,6,11.1,13.0,2.41,1.38,3.48,4.55,4.97,5.3,12.29,27.61
2022,7,13.0,14.0,2.76,1.42,3.64,4.96,5.87,5.76,12.1,27.61
2022,8,15.0,14.0,3.83,2.93,5.58,6.79,7.8,7.07,12.23,28.3
2022,9,0.0,15.5,5.68,4.08,6.32,6.99,7.4,6.53,12.23,28.06
2022,10,0.0,15.5,6.49,3.77,7.04,8.01,7.43,7.07,12.23,28.06
2022,11,12.25,16.5,6.5,3.93,7.38,8.45,8.98,7.87,13.17,28.14
2022,12,12.0,16.5,4.35,4.13,8.15,8.79,8.68,8.22,13.85,29.13
2021,1,4.4,11.5,0.52,1.86,1.64,2.88,2.74,5.01,11.25,28.3
2021,2,11.43,11.5,1.49,1.79,1.82,3.13,3.22,5.36,11.21,28.54
2021,3,10.1,11.5,2.0,1.86,2.06,3.05,2.8,4.94,11.13,28.74
2021,4,30.0,11.5,2.0,1.86,2.33,3.32,3.5,5.78,11.24,28.64
2021,5,15.23,11.5,2.5,1.83,2.84,4.0,4.47,6.14,11.29,28.39
2021,6,16.57,11.5,2.5,1.81,3.36,4.96,5.14,6.54,11.67,29.05
2021,7,12.38,11.5,2.5,1.82,3.27,4.78,4.83,6.3,11.57,27.99
2021,8,13.45,11.5,2.5,1.82,3.6,4.8,5.3,6.73,11.62,28.0
2021,9,13.21,11.5,2.5,1.28,3.71,4.65,5.83,6.72,11.73,27.1
2021,10,13.33,11.5,2.5,1.28,3.8,5.02,5.61,7.4,11.61,27.1
2021,11,11.53,11.5,2.5,1.83,3.72,4.96,5.36,7.34,11.8,27.26
2021,12,0.0,11.5,2.49,1.25,3.73,4.94,4.82,6.79,11.68,27.58
2020,1,5.74,13.5,3.45,3.89,5.01,5.85,7.07,8.01,14.97,30.77
