Time,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,MiningAndQuarrying,CrudePetroleumAndNaturalGas,CoalMining,MetalOres,QuarryingAndOtherMinerals,Manufacturing,OilRefining,Cement,FoodBeverageAndTobacco,TextileApparelAndFootwear,WoodAndWoodProducts,PulpPaperAndPaperProducts,ChemicalAndPharmaceuticalProducts,NonMetallicProducts,PlasticAndRubberProducts,ElectricalAndElectronics,BasicMetalIronAndSteel,MotorVehiclesAndAssembly,OtherManufacturing,ElectricityGasSteamAndAirCon,WaterSupplySewageWaste,Construction,Services,Trade,AccommodationAndFoodServices,TransportationAndStorage,RoadTransport,RailTransportAndPipelines,WaterTransport,AirTransport,TransportServices,PostAndCourierServices,InformationAndCommunication,Publishing,MotionPicturesSoundRecordingAndMusicProduction,Broadcasting,ArtsEntertainmentAndRecreation,FinanceAndInsurance,FinancialInstitutions,Insurance,RealEstate,ProfessionalScientificAndTechnicalServices,AdministrativeAndSupportServicesBusinessServices,PublicAdministration,Education,HumanHealthAndSocialServices,OtherServices,GDP at 2010 Constant Basic Prices,NetTaxesOnProducts,GDP at 2010 Constant Market Prices
1981,2364.37,1854.76,341.41,77.9,90.3,11753.4,5044.55,4977.42,21.33,7.86,37.95,5838.89,36.58,190.94,3278.24,1746.1,53.32,22.67,43.62,57.14,26.43,52.71,33.0,186.75,111.4,6.16,12.23,851.56,5431.79,1770.38,53.78,264.51,222.11,9.46,5.74,18.66,4.48,4.06,271.15,8.59,71.09,174.97,4.59,282.17,196.91,85.26,1063.96,421.38,3.23,807.08,242.56,113.46,133.53,19549.56,198.97,19748.53
1982,2425.96,1897.08,361.12,73.91,93.86,10189.1,4507.93,4453.09,10.29,5.87,38.68,4984.79,38.49,223.85,3042.93,674.27,50.31,24.17,43.69,57.25,26.18,61.86,38.22,590.77,112.81,6.82,10.35,679.2,5604.21,1846.95,50.8,211.89,168.11,10.16,4.66,21.24,4.52,3.2,290.07,9.7,71.66,192.54,4.63,372.27,242.67,129.6,1074.05,423.67,3.25,825.92,248.22,117.88,134.6,18219.27,185.7,18404.96
1983,2409.08,1842.7,393.13,75.28,97.96,8255.76,4096.99,4052.98,9.73,4.82,29.47,3537.72,27.86,79.27,2096.32,722.4,54.75,21.93,28.83,57.36,26.7,57.5,30.4,223.67,110.72,6.56,15.7,598.78,5563.96,1801.78,42.7,178.32,132.24,9.21,7.21,22.53,4.25,2.89,284.82,6.85,67.41,200.12,4.35,336.9,251.21,85.68,1086.7,481.17,3.69,844.77,253.88,118.27,126.6,16228.81,165.58,16394.39
1984,2303.51,1759.12,399.69,76.69,68.01,8392.25,4602.27,4559.2,14.03,3.68,25.36,3282.52,27.43,49.85,2139.26,624.22,59.58,19.9,20.56,56.98,27.24,50.07,24.18,74.57,108.66,6.93,12.38,488.14,5352.56,1662.3,35.97,170.28,127.54,9.42,4.81,22.04,3.48,2.99,259.17,6.08,55.23,182.55,3.57,267.29,200.95,66.34,1086.93,518.36,3.98,863.61,259.55,117.82,103.73,16048.31,163.18,16211.49
1985,2731.06,2180.91,428.1,78.08,43.97,8768.3,4962.81,4918.27,26.19,2.67,15.68,3453.72,39.08,249.27,2114.21,532.8,53.64,22.32,16.43,56.6,26.41,55.08,31.41,145.32,111.14,7.83,7.67,336.27,5498.16,1727.98,33.19,203.57,163.51,6.91,4.09,22.68,3.33,3.04,209.03,7.29,52.93,130.37,3.42,254.99,197.37,57.63,1091.38,602.46,4.62,882.46,265.21,120.43,99.41,16997.52,172.56,17170.08
1986,2986.84,2427.1,421.63,86.59,51.51,8347.53,4860.75,4825.5,26.19,0.62,8.43,3137.51,19.66,269.46,2009.53,363.28,48.29,25.04,11.57,57.3,25.61,85.27,40.8,68.02,113.68,5.12,8.4,335.76,5673.41,1788.77,33.67,180.15,144.76,6.66,3.04,19.11,3.47,3.1,209.23,7.0,55.08,128.82,3.56,303.11,240.19,62.92,1100.91,650.81,5.0,901.31,270.88,122.56,103.45,17007.77,172.77,17180.55
1987,2891.67,2330.0,433.43,87.59,40.65,8799.38,4737.23,4704.42,21.51,2.07,9.22,3680.71,28.92,229.33,2376.36,661.8,53.33,22.39,16.85,58.01,26.61,25.23,31.42,39.23,111.24,5.35,9.08,367.0,5861.06,1900.94,34.17,180.22,146.5,4.93,2.85,19.3,3.51,3.14,211.61,7.36,55.63,130.11,3.59,328.77,259.39,69.38,1112.49,658.62,5.06,920.15,276.54,124.41,104.49,17552.1,178.24,17730.34
1988,3174.57,2581.6,444.27,88.91,59.79,9514.81,4856.73,4828.68,15.53,2.36,10.16,4237.8,33.06,298.88,2965.98,612.28,58.9,20.02,16.49,56.99,27.64,8.1,24.19,6.41,108.85,5.4,10.49,404.4,6150.18,2073.8,34.22,180.52,148.25,3.84,3.15,18.54,3.54,3.19,214.6,8.3,56.18,131.42,3.63,398.17,319.76,78.42,1123.08,665.2,5.11,939.0,282.2,125.13,105.52,18839.55,191.14,19030.69
1989,3325.95,2710.67,453.16,67.31,94.81,9442.83,5435.67,5407.01,15.34,2.41,10.91,3568.69,43.03,314.58,2405.89,460.59,55.46,21.37,17.16,55.99,26.6,6.89,28.06,22.8,110.26,5.84,11.42,421.21,6432.39,2156.75,34.56,180.96,151.22,2.83,2.73,17.36,3.59,3.23,217.91,8.44,57.02,133.38,3.68,539.66,451.83,87.83,1139.87,675.18,5.18,957.84,287.87,125.83,107.09,19201.16,194.8,19395.96
1990,3464.72,2828.59,462.22,72.61,101.29,11148.1,6860.85,6831.77,15.53,2.14,11.41,3825.61,42.52,221.11,2684.15,519.47,52.22,22.8,14.61,57.16,25.6,6.72,32.56,35.03,111.69,6.36,13.0,442.27,6849.92,2221.45,34.91,184.57,154.24,2.89,2.78,17.7,3.66,3.3,222.75,9.08,58.16,136.05,3.75,785.4,700.68,84.72,1196.55,688.69,5.29,976.69,293.53,127.1,109.23,21462.73,217.47,21680.2
